iter	Passed	Remaining
0	138	138123
1	139	69725
2	140	46768
3	141	35220
4	142	28265
5	142	23619
6	143	20302
7	143	17815
8	144	15880
9	144	14328
10	145	13060
11	145	12004
12	146	11109
13	146	10342
14	147	9677
15	147	9094
16	148	8581
17	148	8126
18	149	7718
19	150	7350
20	150	7017
21	151	6718
22	151	6442
23	152	6188
24	152	5956
25	153	5741
26	153	5543
27	154	5357
28	154	5185
29	155	5024
30	155	4873
31	156	4732
32	156	4599
33	157	4473
34	157	4355
35	158	4244
36	159	4139
37	159	4039
38	160	3945
39	160	3855
40	161	3770
41	161	3688
42	162	3610
43	162	3536
44	163	3464
45	163	3396
46	164	3330
47	164	3268
48	165	3208
49	165	3152
50	166	3096
51	166	3043
52	167	2991
53	167	2942
54	168	2894
55	168	2848
56	169	2804
57	170	2761
58	170	2720
59	171	2680
60	171	2641
61	172	2603
62	172	2567
63	173	2532
64	173	2497
65	174	2465
66	174	2432
67	175	2401
68	175	2371
69	176	2341
70	176	2312
71	177	2284
72	177	2259
73	178	2232
74	178	2206
75	179	2181
76	179	2157
77	180	2133
78	180	2109
79	181	2087
80	182	2064
81	182	2043
82	182	2019
83	183	1998
84	183	1978
85	184	1959
86	184	1939
87	185	1921
88	185	1902
89	186	1884
90	186	1867
91	187	1850
92	187	1833
93	188	1816
94	188	1800
95	189	1784
96	189	1768
97	190	1753
98	190	1738
99	191	1723
100	192	1710
101	192	1696
102	193	1682
103	193	1669
104	194	1655
105	194	1642
106	195	1630
107	195	1617
108	196	1604
109	196	1592
110	197	1580
111	197	1569
112	198	1557
113	198	1545
114	199	1534
115	199	1523
116	200	1511
117	200	1501
118	201	1490
119	201	1480
120	202	1470
121	202	1459
122	203	1449
123	203	1440
124	204	1430
125	204	1421
126	205	1411
127	205	1402
128	206	1393
129	206	1384
130	207	1375
131	207	1367
132	208	1358
133	208	1350
134	209	1342
135	210	1335
136	211	1331
137	212	1325
138	212	1318
139	213	1311
140	214	1308
141	215	1301
142	216	1295
143	217	1290
144	218	1286
145	218	1279
146	219	1275
147	220	1270
148	221	1266
149	222	1260
150	223	1254
151	223	1247
152	224	1243
153	225	1237
154	225	1231
155	226	1225
156	227	1219
157	227	1212
158	228	1206
159	228	1200
160	228	1193
161	229	1187
162	230	1181
163	230	1175
164	231	1169
165	231	1163
166	232	1158
167	232	1152
168	233	1146
169	233	1141
170	234	1136
171	234	1130
172	235	1124
173	235	1119
174	236	1114
175	236	1109
176	237	1103
177	238	1099
178	238	1094
179	239	1089
180	239	1084
181	240	1079
182	240	1074
183	241	1069
184	241	1065
185	242	1060
186	242	1055
187	243	1050
188	243	1046
189	244	1041
190	244	1037
191	245	1032
192	245	1028
193	246	1024
194	247	1019
195	247	1015
196	248	1011
197	248	1007
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	970
207	253	966
208	254	962
209	254	958
210	255	954
211	255	951
212	256	947
213	256	943
214	257	939
215	257	936
216	258	932
217	258	928
218	259	925
219	259	921
220	260	918
221	261	914
222	261	911
223	262	907
224	262	904
225	263	900
226	263	897
227	264	894
228	264	890
229	265	887
230	265	884
231	266	881
232	266	878
233	267	874
234	267	871
235	268	868
236	268	865
237	269	862
238	269	858
239	270	855
240	270	852
241	271	849
242	271	846
243	272	844
244	272	841
245	273	838
246	273	835
247	274	832
248	275	829
249	275	826
250	276	823
251	276	820
252	277	818
253	277	815
254	278	812
255	278	809
256	279	806
257	279	804
258	280	801
259	280	798
260	281	796
261	281	793
262	282	790
263	282	788
264	283	785
265	283	783
266	284	780
267	284	777
268	285	775
269	285	772
270	286	770
271	286	767
272	287	765
273	287	762
274	288	760
275	288	757
276	289	755
277	289	752
278	290	750
279	290	748
280	291	745
281	292	743
282	292	741
283	293	738
284	293	736
285	294	734
286	294	731
287	295	729
288	295	727
289	296	725
290	296	722
291	297	720
292	297	718
293	298	716
294	298	714
295	299	712
296	300	710
297	300	708
298	301	706
299	301	704
300	302	701
301	302	699
302	303	697
